id,name,player_1_id,player_2_id,player_3_id,player_4_id,image_url,is_out
1,Squad Red,1,2,3,4,https://lh3.googleusercontent.com/pw/AP1GczOHTALAJZG59cXoik9bxpZQcjWq8qOTE2Mu7msv_DK-1fNkJfNnrlG49Re3pdaZNeVPUDZuAvHudbLUXnamOOLsnCFhAyN3ADq_er3soIvFJ8vyvleGMSvm6GWJkmaCDiZ0vPvWLBmmDd2m-OZqtlhY=w1388-h1292-s-no?authuser=1,true
2,Squad Blue,6,5,,,https://lh3.googleusercontent.com/pw/AP1GczM5xwRinuB1id0m5PT8VOwcd9AZVqBYAB-lGCthbGrFlRRiWbn2GA5sB1N8DwgKf3s1oAqCndF_6LK4oizcOrS8s6eLqH5waj4SEAJLreWmJoMbhzjqs-wMFGb8vJNVLt56bIDGmrPwcXxRzMsjvYlH=w1292-h1292-s-no?authuser=1,true
3,Squad Green,10,9,8,7,https://lh3.googleusercontent.com/pw/AP1GczO3q5wyfiJy18rGw6gZtQt5y-X2Are6yEGFt8w7_XpJItz_9mdJgWIzna2ZY5XLnKW0d72B8gfDwAHUtG_65qKjkMcE0ia1KDllfnifxY_ucy3iDhRh37UsztPbvZsEMIrGbkrcN17NEQMhe33dTtzR=w989-h657-s-no?authuser=1,false
4,Squad Yellow,14,13,12,11,https://lh3.googleusercontent.com/pw/AP1GczMfNkS4iHUZQL3Ww8m7fEDQ5pdMbnpYv3W9TbOMfrewCSTq8Xb5NrnltWHiPVVMK7joKwM1Z_vnksrDlOlBcVxrnUMjJ4PSqaMwIUzMJH7fQItI8UA50toZN3S38jF3d6nBDC1R4Q8bGUmTD6lcDYT6=w1440-h2196-s-no?authuser=1,true
5,Squad Purple,18,17,16,15,https://lh3.googleusercontent.com/pw/AP1GczPev_iWgj7Z_33IWO1bKNQS-Zt9YfFaSh1_1Mz4b_39rMdjRXmpw5DnXsJK3mSetGs0oEW7rImvMyDeHu6rJM3-ljst9Xy4kDnxnBY9SbWFnsuduzsSiNGrOwl1G8JhTfocGFxKPkh2aEQpjPJm6EE4=w1338-h1292-s-no?authuser=1,false
6,Squad Orange,22,21,20,19,https://lh3.googleusercontent.com/pw/AP1GczPkMRjBsGj2q9pfvkMwdM022UBVbDf6wC1EGImEAbydmgFnrreQOzAYzAKJj0F9DtUON9zhHTdoUymX-Dko9BTebZxpQr80JQiBWmwSBn2XtdCn5bh5G8CoAis5CmSpD3do49JF0w7GDpz0OVme3Jge=w1219-h1219-s-no?authuser=1,true
7,Squad Pink,26,25,24,23,https://lh3.googleusercontent.com/pw/AP1GczMcLYNGCU-xy4dv7OUSJNGpeibFM7wrbqfzZ7K8DLTi6ajoYTMjkEUU-fakNMILNHoPz7_kYw4OjdtAJ1wxSSH0YJi5sHMp8Xc7Qi5V7cx5fk9dXXTX3j18BBy9fOWxCJNPFpOdQ5ffF5F2mL8Hf5yn=w1722-h1292-s-no?authuser=1,true
8,Squad Cyan,30,29,28,27,https://lh3.googleusercontent.com/pw/AP1GczMA8u1O79FLglpfOnJmzfPjqdAsFz9S63ORvAdCJG4uVYmTdkfWicR5aSLuqURNBglUGYoPek6LwCBiCrRRyo3IBo4diVJfIqfwCKUr2fIYWVaW9tp0cKKkz9JPAyf4fZm8yIPXq9Oa7yZeTwexfmX-=w974-h1292-s-no?authuser=1,false
9,Squad Brown,34,33,32,31,https://lh3.googleusercontent.com/pw/AP1GczNgex_-dPG_RyJTH8F-4BuCfXqX4bAqd64_5lx89WqR2Jl-RjOK0ZSjRkEtKtGyZC8eWkwSzHwOoEeJP6Rr9gnKFmSX0c_fMC5OrKh9ijgXft-62-DoK4qTFu6wyk6gcAksG8vfoGOie1fMlb7k8cG1=w1600-h1200-s-no?authuser=1,true
10,Squad Black,38,37,36,35,https://lh3.googleusercontent.com/pw/AP1GczOV1GAitykYbo4lRj4aJKcUGgILmE0tP92tb3953535M35DaeNMnI_xSebhZQ1po8DzEzgcTIQYxO0v1dxE4viM9ySzxwgVcayZ58aQ9aiWww_jVn4k4488qqN3HYagjkjzRhlfopiq1Tqw8-IiKuXa=w1652-h790-s-no?authuser=1,true
11,Squad White,42,41,40,39,https://lh3.googleusercontent.com/pw/AP1GczM3hRQzAqUajmmcrcM9wKhYU9XIdU395IOxMyQmbcM3EqDbwnj7juNU8tGeTeReMz2N5UCy7-EGD3Du11Je6600gdWvXZ1cqCml-17-3hnt74jjSqy19ePzz9W123iNpO6kDqpkW-SX9hT85-NiN6ma=w1536-h1024-s-no?authuser=1,true
12,Squad Silver,46,45,44,43,https://lh3.googleusercontent.com/pw/AP1GczOIuqNpELtkOZ8wr1pTHGHFlLKtJlh77Mi1EVYYulmd_iP8BZGJnCna-uJWuEyv2T3F4CDoxq5qIB4FbgID8wmUm7fxIrk1loT6wq9hHYzPtgM1TMdacmHpuJxLej42CeQNiRqGyONSnzFa9XnFcwPn=w970-h1292-s-no?authuser=1,true
13,Squad Gold,50,49,48,47,https://lh3.googleusercontent.com/pw/AP1GczO7O9VFjA5PyTJGVUrIpoWwlApWIplOgEUXU68pIJtqfXO3MYSG8UhPvsnG9i8pWWgRpH63L8WW-8knQiiZAtZgX6F0vgO6E6QX_Nc4x1xaXMF_Diw52kYuN0PU60QQzaTaU_TNbN-eoWRplKdAoFeh=w970-h1292-s-no?authuser=1,false
14,Squad Navy,54,53,52,51,https://lh3.googleusercontent.com/pw/AP1GczPwVKakAMxz5eyvR4e0m0yDz6-c3llqjK7N0yul0qXheNhkLhiMlYDbhWJMmPoUR3JeQqFLCMBJO8VwsaLfRLsZwLsZq2s3BfmmrBQoLrb7nZCjGwRHUOrFF4TEbF3x6HGVUB150vkSi7ZrJgGC0_dW=w1080-h1080-s-no?authuser=1,true
15,Squad Teal,55,58,59,,https://lh3.googleusercontent.com/pw/AP1GczM7QLzrvMECSUHx2Z6stVj0tW_xGaSxxA1Ry3ZJHNcpeVk8tKfW8sr1epAKGBs4Wa-M1mzT8Dzoe-5RFcY8V6QddCCj3ku40fzlK9Ac9IVcpMYJ1fN91TPlp-x6Ryg926-rHRsIciqT9xk96-_tME9W=w1824-h1068-s-no?authuser=1,true
16,Squad Olive,56,57,60,61,https://lh3.googleusercontent.com/pw/AP1GczOdl_wMUuXik6gjQqFNX28sbyQhxq0ctRUbjmJAjOKimsKe7jIcifdJrSIen3ptbJNrwqPBkdBq78UNtYOYj8NvUyVf_xnHERj_d5sOlPOfgzb3YHH6NhfIyB3k4CNxfLVxMqeizdXFTVRT-0T2qV7e=w1080-h1350-s-no?authuser=1,true